Country,Latitude,Longitude,Oil Consumption,Oil Cost,Natural Gas Consumption,Natural Gas Cost,Coal Consumption,Coal Cost,Nuclear Energy Consumption,Nuclear Cost,Hydroelectric Consumption,Hydroelectic Cost,Renewable Consumption,Renewable Cost,,
United Kingdom,55.378051,-3.435973,2.67,"$213,420,448.30",2.59,"$15,967,489,964.68",0.21,"$393,645,253.26",0.43,"$21,490,822.73",0.05,"$1,995,659.47",1.36,"$68,230,347.89",,
Azerbaijan,40.143105,47.576927,0.25,"$19,674,612.28",0.44,"$2,684,493,847.62",0.00,"$10,427.67",0.00,$0.00,0.01,"$598,731.64",0.00,"$126,653.15",,
Belarus,53.709807,27.953389,0.31,"$25,002,384.19",0.66,"$4,095,559,899.05",0.04,"$71,872,382.21",0.04,"$2,112,016.08",0.00,"$128,771.60",0.01,"$371,047.85",,
Kazakhstan,48.019573,66.923684,0.78,"$62,293,171.88",0.78,"$4,816,827,548.18",1.44,"$2,672,473,942.04",0.00,$0.00,0.09,"$3,456,364.57",0.04,"$1,984,259.30",,
Russian Federation,61.52401,105.318756,7.05,"$564,392,929.08",14.69,"$90,517,506,351.67",3.19,"$5,948,390,966.95",2.01,"$100,736,999.51",1.86,"$74,209,442.14",0.08,"$4,179,107.79",,
Turkmenistan,38.969719,59.556278,0.30,"$24,062,376.02",1.35,"$8,326,782,433.95",0.00,$0.00,0.00,$0.00,0.00,"$2,170.85",0.00,"$3,266.22",,
Uzbekistan,41.377491,64.585262,0.22,"$17,294,052.84",1.74,"$10,718,419,931.83",0.10,"$192,249,152.12",0.00,$0.00,0.05,"$1,994,645.74",0.00,"$86,921.30",,
Iran,32.427908,53.688046,3.69,"$295,298,290.25",8.24,"$50,780,456,854.80",0.08,"$141,705,039.72",0.06,"$2,956,886.59",0.07,"$2,798,309.33",0.02,"$940,735.17",,
Iraq,33.223191,43.679291,1.59,"$127,305,679.32",0.68,"$4,185,322,484.70",0.00,$0.00,0.00,$0.00,0.03,"$1,236,286.16",0.00,"$198,153.94",,
Israel,31.046051,34.851612,0.46,"$36,895,666.12",0.41,"$2,503,797,683.09",0.16,"$291,177,881.42",0.00,$0.00,0.00,"$8,814.86",0.07,"$3,527,846.93",,
Kuwait,29.31166,47.481766,0.81,"$64,453,268.05",0.78,"$4,832,757,408.86",0.00,"$8,398,065.85",0.00,$0.00,0.00,$0.00,0.00,"$100,459.96",,
Oman,21.512583,55.923255,0.45,"$36,017,289.16",1.03,"$6,325,381,727.47",0.00,"$6,554,333.52",0.00,$0.00,0.00,$0.00,0.01,"$742,527.84",,
Qatar,25.354826,51.183884,0.56,"$44,604,516.03",1.32,"$8,140,383,227.21",0.00,"$770,755.87",0.00,$0.00,0.00,$0.00,0.01,"$269,864.48",,
Saudi Arabia,23.885942,45.079162,7.15,"$572,048,912.05",4.33,"$26,699,196,325.58",0.00,"$8,573,010.24",0.00,$0.00,0.00,$0.00,0.01,"$392,809.60",,
United Arab Emirates,23.424076,53.847818,2.19,"$174,889,392.85",2.51,"$15,494,566,514.02",0.10,"$191,310,741.69",0.18,"$9,053,585.68",0.00,$0.00,0.07,"$3,268,471.73",,
Algeria,28.033886,1.659626,0.86,"$68,721,914.29",1.59,"$9,821,611,800.00",0.01,"$10,034,998.27",0.00,$0.00,0.00,"$28,825.32",0.01,"$324,871.41",,
Egypt,26.820553,30.802498,1.52,"$121,319,398.88",2.19,"$13,475,757,697.85",0.05,"$95,631,681.67",0.00,$0.00,0.13,"$5,179,321.17",0.10,"$4,772,004.49",,
Morocco,31.791702,-7.09262,0.57,"$45,571,517.94",0.01,"$49,401,044.56",0.28,"$520,635,104.45",0.00,$0.00,0.00,"$131,479.10",0.06,"$3,192,834.56",,
South Africa,-30.559482,22.937506,1.06,"$85,141,582.49",0.16,"$1,011,152,455.87",3.31,"$6,169,356,824.16",0.09,"$4,548,265.04",0.03,"$1,163,824.95",0.16,"$7,884,142.12",,
Australia,-25.274398,133.775136,2.07,"$165,323,619.84",1.50,"$9,234,070,208.37",1.55,"$2,887,623,097.40",0.00,$0.00,0.16,"$6,428,473.00",0.70,"$35,186,058.94",,
Bangladesh,23.684994,90.356331,0.55,"$44,012,126.92",1.05,"$6,477,052,818.79",0.18,"$334,787,745.59",0.00,$0.00,0.01,"$290,966.20",0.01,"$313,218.15",,
China,35.86166,104.195397,28.16,"$2,252,599,029.54",13.53,"$83,343,331,575.93",88.41,"$164,634,522,692.36",3.76,"$188,145,065.31",12.23,"$489,229,125.98",13.30,"$665,132,822.84",,
China Hong Kong SAR,22.396428,114.109497,0.47,"$37,604,842.19",0.16,"$1,001,462,183.33",0.15,"$279,977,250.86",0.00,$0.00,0.00,$0.00,0.00,"$150,182.68",,
India,20.593684,78.96288,10.05,"$803,976,058.96",2.09,"$12,907,057,743.95",20.09,"$37,415,107,556.98",0.42,"$20,802,539.59",1.64,"$65,671,420.10",2.15,"$107,454,693.74",,
